Ticker,Sector,Industry,Previous Close,Volume,Market Cap,Enterprise Value,Total Debt,Net Receivables,Inventory,Property Plant and Equipment,Total Assets,Intangible Assets,Total Liabilities,Shares Outstanding,Beta,PE Ratio (TTM),Price/Sales,EPS (TTM),Dividend,Dividend %,Cash/sh,Cash And Cash Equivalents,FCF,NAV,NAV%,NET-NET,NET-NET%,EY,EV/FCF,Tangible Book Value,Price/Tangible Book Value
AABA,Financial Services,Asset Management,68.48,3839656.0,41247000000.0,58990000000.0,4450000000.0,0.0,0.0,0.0,0.0,0.0,0.0,605510000.0,1.85,2.41,155.04,28.21,0.0,0.0,0.0,0.0,8359999999.999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAL,Industrials,Airlines,41.5,5030569.0,19033000000.0,38300000000.0,24080000000.0,1752000000.0,1359000000.0,32939000000.0,51396000000.0,2203000000.0,47470000000.0,460510000.0,1.48,13.45,0.44,3.07,0.0,0.0,0.0,295000000.0,1230000000.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0
AAME,Financial Services,Insurance - Life,2.35,4590.0,48599000.0,79160000.0,33740000.0,13241000.0,0.0,0.0,343239000.0,35238000.0,230256000.0,20250000.0,0.77,46.15,0.26,0.05,0.0,0.0,0.0,24547000.0,2530000.0,3.741503984712601,-0.9098432774768048,-26.58465614210332,-1.6405941239061042,0.03691294255874674,31.13821138211382,1723000000.0,11.091796285548462
AAOI,Technology,Semiconductors,28.36,6187653.0,485753000.0,602170000.0,61030000.0,65734000.0,75768000.0,197943000.0,452984000.0,4811000.0,119708000.0,19700000.0,1.36,14.12,1.51,1.75,0.0,0.0,0.0,83984000.0,17320000.0,3.839259259259259,0.6337273443656422,-9.668061728395061,-5.114068820593643,0.012790550783223852,31.288537549407113,77745000.0,0.6120972409801274
AAON,Basic Materials,Building Materials,37.25,279670.0,1976000000.0,1960000000.0,0.0,52009000.0,70786000.0,142375000.0,296780000.0,0.0,59554000.0,52260000.0,0.62,42.91,4.63,0.88,0.0,0.0,0.0,21457000.0,16280000.000000002,16.673350253807108,-0.41208214901949547,12.66007614213198,-0.5535939301081813,0.05725127455701878,34.767321016166285,328465000.0,1.7009179060173838
AAPL,Technology,Consumer Electronics,224.95,21636015.0,1090000000000.0001,1110000000000.0,114600000000.0,35673000000.0,4855000000.0,33783000000.0,375319000000.0,2298000000.0,241272000000.0,4830000000.0,1.26,20.45,4.27,11.04,0.0,0.0,0.0,20289000000.0,51150000000.0,4.539341752774589,-0.8781384764355815,3.419015499425947,-0.9082143490086994,0.02346367346938776,120.39312039312038,237226000.0,8.206035594749311
AAWW,Industrials,Airports & Air Services,63.55,180596.0,1630000000.0,3890000000.0,2500000000.0,194478000.0,34700000.0,4003101000.0,4955462000.0,66124000.0,3165606000.0,25570000.0,1.34,9.31,0.67,6.84,0.0,0.0,0.0,280809000.0,214300000.0,27.277225672877847,-0.8787409394404185,-32.71589026915114,-1.1454362759242105,0.04803891891891891,21.700879765395893,131749000000.0,8.246806427373262
AAXN,Industrials,Aerospace & Defense,67.61,289346.0,3991000000.0,3560000000.0,0.0,56064000.0,45465000.0,31172000.0,338112000.0,18823000.0,170668000.0,58320000.0,0.8,191.68,10.36,0.36,0.0,0.0,0.0,75105000.0,8070000.0,67.41228001564333,0.060775452645843275,50.117813844348845,-0.21136406224470738,0.04496113110539846,18.152123191787215,1723732000.0,0.9427065808373923
ABAC,Consumer Defensive,Farm Products,2.09,4600.0,20167000.0,44070000.0,2180000.0,54648.0,5633005.0,20033880.0,94060430.0,2324787.0,3516834.0,9980000.0,1.29,24.63,0.73,0.08,0.0,0.0,0.0,62636484.0,5110000.0,2.5483710562414266,-0.9623077790823632,0.0066786694101508915,-0.9999012177279966,0.005897528089887641,441.14002478314745,148621000.0,26.530673323419975
ABCB,Financial Services,Banks - Regional - US,45.3,222021.0,2172000000.0,2350000000.0,961780000.0,0.0,17475000.0,117738000.0,7856203000.0,13496000.0,7051724000.0,47520000.0,1.31,26.77,5.82,1.71,0.0,0.0,0.0,291858000.0,68390000.0,8.83956002004008,3.229454555043101,8.217536923847696,2.9318358487309553,0.018116632629906967,8.62426614481409,88218809.0,0.23643710719331973
ABCD,Consumer Defensive,Education & Training Services,11.78,68120.0,559524000.0,600520000.0,55130000.0,12937000.0,2382000.0,22086000.0,158554000.0,3607000.0,172846000.0,47260000.0,-0.13,12.94,3.51,0.92,0.0,0.0,0.0,8493000.0,30030000.0,16.64526515151515,-0.6325548531674359,-139.59155092592593,-4.0814911904177915,0.034578382978723406,34.36174879368329,790983000.0,2.721494646534755
ABDC,Financial Services,Asset Management,5.99,97503.0,80908000.0,184370000.0,112520000.0,3360441.0,0.0,0.0,310326150.0,0.0,152611975.0,13530000.0,0.67,0.0,2.59,0.06,0.0,0.0,0.0,13882956.0,13890000.0,-0.37873465933135847,-1.032150650197908,-2.7797979263647905,-1.2359760548696765,0.07240258442683009,19.997335997336,-17899000.0,-31.10357003184535
ABEO,Healthcare,Biotechnology,13.0,354537.0,613674000.0,501020000.0,0.0,107000.0,0.0,1374000.0,178766000.0,3977000.0,8668000.0,47940000.0,0.87,0.0,159.35,0.75,0.0,0.0,0.0,137750000.0,23800000.0,11.656627864005912,0.9460146684483994,-10.067160994087214,-2.680661267794193,0.004403102457015784,13.2735781137509,157714175.0,0.5138707411683192
ABIL,Technology,Communication Equipment,3.35,103964.0,11566000.0,9480000.0,630.0,4488000.0,50000.0,1388000.0,20013000.0,0.0,19422000.0,3300000.0,-0.26,0.0,4.53,3.71,0.0,0.0,0.0,1944000.0,11970000.0,3.465185648727576,-0.7334472577901865,2.722908844388819,-0.7905454735085524,0.07176360225140713,21.051260504201682,166121000.0,3.7516027473949713
